"118","Bakingware","https://apps.rajodiya.com/ecommerce/themes/kitchen/uploads/519120221213_1670915062.png","themes/kitchen/uploads/519120221213_1670915062.png","themes/kitchen/uploads/912220221213_1670915062.png","1","1","kitchen","2023-01-19 09:37:24","2023-01-19 09:37:24"
"119","BBQ ware","https://apps.rajodiya.com/ecommerce/themes/kitchen/uploads/127720221213_1670915081.png","themes/kitchen/uploads/127720221213_1670915081.png","themes/kitchen/uploads/772520221213_1670915081.png","1","1","kitchen","2023-01-19 09:37:24","2023-01-19 09:37:24"
"120","Chopping Boards","https://apps.rajodiya.com/ecommerce/themes/kitchen/uploads/16020221213_1670915100.png","themes/kitchen/uploads/16020221213_1670915100.png","themes/kitchen/uploads/982120221213_1670915100.png","1","1","kitchen","2023-01-19 09:37:24","2023-01-19 09:37:24"
"121","Coffee & teaware","https://apps.rajodiya.com/ecommerce/themes/kitchen/uploads/297920221213_1670915122.png","themes/kitchen/uploads/297920221213_1670915122.png","themes/kitchen/uploads/559220221213_1670915122.png","1","1","kitchen","2023-01-19 09:37:24","2023-01-19 09:37:24"
"122","Cookware","https://apps.rajodiya.com/ecommerce/themes/kitchen/uploads/143020221213_1670915143.png","themes/kitchen/uploads/143020221213_1670915143.png","themes/kitchen/uploads/17620221213_1670915143.png","1","1","kitchen","2023-01-19 09:37:24","2023-01-19 09:37:24"
"123","Dinnerware","https://apps.rajodiya.com/ecommerce/themes/kitchen/uploads/113920221213_1670915160.png","themes/kitchen/uploads/113920221213_1670915160.png","themes/kitchen/uploads/389420221213_1670915160.png","1","1","kitchen","2023-01-19 09:37:24","2023-01-19 09:37:24"
"124","Drawers Orgnizers","https://apps.rajodiya.com/ecommerce/themes/kitchen/uploads/603420221213_1670915178.png","themes/kitchen/uploads/603420221213_1670915178.png","themes/kitchen/uploads/841120221213_1670915178.png","1","1","kitchen","2023-01-19 09:37:24","2023-01-19 09:37:24"
"125","Food storage  & organising","https://apps.rajodiya.com/ecommerce/themes/kitchen/uploads/769220221213_1670915209.png","themes/kitchen/uploads/769220221213_1670915209.png","themes/kitchen/uploads/897320221213_1670915209.png","1","1","kitchen","2023-01-19 09:37:24","2023-01-19 09:37:24"
"126","Glassware","https://apps.rajodiya.com/ecommerce/themes/kitchen/uploads/50820221213_1670915230.png","themes/kitchen/uploads/50820221213_1670915230.png","themes/kitchen/uploads/968120221213_1670915230.png","1","1","kitchen","2023-01-19 09:37:24","2023-01-19 09:37:24"
"127","Kitchen Appliances","https://apps.rajodiya.com/ecommerce/themes/kitchen/uploads/835920221213_1670915251.png","themes/kitchen/uploads/835920221213_1670915251.png","themes/kitchen/uploads/625820221213_1670915251.png","1","1","kitchen","2023-01-19 09:37:24","2023-01-19 09:37:24"
"128","Servingware","https://apps.rajodiya.com/ecommerce/themes/kitchen/uploads/167620221213_1670915267.png","themes/kitchen/uploads/167620221213_1670915267.png","themes/kitchen/uploads/222620221213_1670915267.png","1","1","kitchen","2023-01-19 09:37:25","2023-01-19 09:37:25"
"129","Silverware","https://apps.rajodiya.com/ecommerce/themes/kitchen/uploads/30220221213_1670915284.png","themes/kitchen/uploads/30220221213_1670915284.png","themes/kitchen/uploads/484520221213_1670915284.png","1","1","kitchen","2023-01-19 09:37:25","2023-01-19 09:37:25"
"130","Table linen and Covers","https://apps.rajodiya.com/ecommerce/themes/kitchen/uploads/111520221213_1670915303.png","themes/kitchen/uploads/111520221213_1670915303.png","themes/kitchen/uploads/94820221213_1670915303.png","1","1","kitchen","2023-01-19 09:37:25","2023-01-19 09:37:25"
