"28","Baby shoes","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/99_1672916094_29820221004_1664880238.png","themes/steps/uploads/99_1672916094_29820221004_1664880238.png","themes/steps/uploads/35_1672916094_29820221004_1664880238.png","1","15","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
"29","Casual Shoes","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/26_1672915683_casual.jpeg","themes/steps/uploads/26_1672915683_casual.jpeg","themes/steps/uploads/29_1672915683_casual.jpeg","1","15","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
"30","Flip Flops","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/22_1672915694_filflop.jpeg","themes/steps/uploads/22_1672915694_filflop.jpeg","themes/steps/uploads/48_1672915694_filflop.jpeg","1","15","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
"31","lofers","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/11_1672915720_lofer.jpeg","themes/steps/uploads/11_1672915720_lofer.jpeg","themes/steps/uploads/90_1672915720_lofer.jpeg","1","15","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
"32","Sandles","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/39_1672915756_sandels.jpeg","themes/steps/uploads/39_1672915756_sandels.jpeg","themes/steps/uploads/99_1672915756_sandels.jpeg","1","15","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
"33","Lofers","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/61_1672915775_mlofer.jpeg","themes/steps/uploads/61_1672915775_mlofer.jpeg","themes/steps/uploads/72_1672915775_mlofer.jpeg","1","16","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
"34","Running Shoe","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/93_1672915828_26320221004_1664879515.png","themes/steps/uploads/93_1672915828_26320221004_1664879515.png","themes/steps/uploads/97_1672915828_853120221004_1664878113.png","1","16","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
"35","Sandles","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/40_1672915850_msandel.jpeg","themes/steps/uploads/40_1672915850_msandel.jpeg","themes/steps/uploads/84_1672915850_msandel.jpeg","1","16","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
"36","sneakers","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/11_1672915878_29620221004_1664879616.png","themes/steps/uploads/11_1672915878_29620221004_1664879616.png","themes/steps/uploads/26_1672915878_29620221004_1664879616.png","1","16","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
"37","Walking","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/84_1672915901_mWalking.jpeg","themes/steps/uploads/84_1672915901_mWalking.jpeg","themes/steps/uploads/63_1672915901_mWalking.jpeg","1","16","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
"38","Loafers","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/49_1672915915_wLoafers.jpeg","themes/steps/uploads/49_1672915915_wLoafers.jpeg","themes/steps/uploads/51_1672915915_wLoafers.jpeg","1","17","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
"39","Pump heels","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/18_1672915932_wPump heels.jpeg","themes/steps/uploads/18_1672915932_wPump heels.jpeg","themes/steps/uploads/91_1672915932_wPump heels.jpeg","1","17","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
"40","Running Shoes","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/75_1672915995_25820221004_1664879441.png","themes/steps/uploads/75_1672915995_25820221004_1664879441.png","themes/steps/uploads/46_1672915995_25820221004_1664879441.png","1","17","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
"41","Sandals","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/49_1672916015_wsandel.jpeg","themes/steps/uploads/49_1672916015_wsandel.jpeg","themes/steps/uploads/83_1672916015_wsandel.jpeg","1","17","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
"42","Slip On","http://localhost/Ecommarce_main/themes/shoesmobileapp/uploads/79_1672916030_wSlip On.jpeg","themes/steps/uploads/79_1672916030_wSlip On.jpeg","themes/steps/uploads/11_1672916030_wSlip On.jpeg","1","17","steps","2023-01-18 13:02:53","2023-01-18 13:02:53"
